Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Data Category,Specific content type of the data file.,"Gene Expression, Transcript Expression, Exon Expression Quantification, Gene Expression Quantification, Isoform Expression Quantification, Splice Junction Quantification, Other",,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=gene_expression,
Expression Units,How quantities are corrected for gene length,"TPM, RPKM, FPKM, Counts, Other, NA",,,TRUE,Sequencing,,,
Fusion Gene Detected,Was a fusion gene identified?,"Yes - Fusion Gene Detected, No, unknown",,,FALSE,Sequencing,,,
Yes - Fusion Gene Detected,A fusion gene was detected,,Fusion Gene Identity,,FALSE,Sequencing,,,
Fusion Gene Identity,The gene symbols of fused genes.,"EWS-FLI, EWS-ERG, SYT-SSX1, SYT-SSX2, EWS-WT1, Other Fusion Gene",,,FALSE,Sequencing,,,list like
Other Fusion Gene,Other fusion gene detected.,,Specify Other Fusion Gene,,FALSE,Sequencing,,,
Specify Other Fusion Gene,"Specify fusion gene detected, if not in list",,,,FALSE,Sequencing,,,
Matrix Type,Type of data stored in matrix.,"Raw Counts, Normalized Counts, Scaled Counts, Batch Corrected Counts",,,TRUE,Sequencing,,,
Linked Matrices,All matrices associated with every part of a SingleCellExperiment object. Comma-delimited list of filenames,,,,FALSE,Sequencing,,,
Test Attribute,A test attribute,"1,2,3",,,FALSE,Sequencing,,,
Test Attribute 2,A second test attribute,"a, b, c",,,TRUE,Sequencing,,,
1,A valid value for the attribute Test Attribute,,Test Attribute 2,,,,,,
b,,,Test Attribute 3,,,,,,
Test Attribute 3,,,,,,,,,
mockComponent,"A mock component to demonstrate the use of the property ""DependsOn Component""",,,,,,Bulk RNA-seq Level 1,,
